area,id,locacao,price,venda
56,30304,,250000,
83,30303,,370000,
222,30300,,1250000,
106,30299,,540000,
53,30298,,200000,
84,30297,,400000,
173,30296,,590000,
120,30295,,750000,
120,30293,,220000,
121,30292,,270000,
148,30291,,730000,
95,30290,,1700,
65,30289,,330000,
89,30288,,235000,
49,30287,,750,
56,30286,,110000,
150,30285,,650000,
45,30284,,190000,
52,30283,,1000,
1340,30282,,750000,
89,30281,,375000,
128,30280,,620000,
165,30279,,420000,
144,30278,,1400,
31,30277,550,,75000
58,30276,,160000,
504,30275,,530000,
113,30274,,450000,
46,30273,,180000,
46,30272,700,,175000
530,30271,,3500000,
343,30269,,110000,
263,30268,,110000,
1600,30267,,320000,
2820,30266,,50000,
430,30265,,1980000,
202,30264,,860000,
156,30262,,250000,
250,30261,,250000,
68,30260,,315000,
107.18999999999999772626324556767940521240234375,30259,,256000,
191,30258,,500000,
28,30257,,185000,
66,30256,,160000,
48,30255,,120000,
265,30254,,740000,
280,30253,,775000,
73,30252,1000,,275000
84,30251,,410000,
169,30250,,450000,
84,30249,,390000,
1313,30248,,19000,
72,30247,,300000,
203,30246,,1000000,
100,30245,,175000,
850,30244,23000,,3500000
66,30242,,170000,
360,30241,,190000,
128,30240,,2700,
164,30239,,2000,
90,30238,,205000,
135,30237,,790000,
165,30235,,450000,
384,30234,,170000,
918,30233,,490000,
95,30232,,220000,
46,30231,,750,
146,30230,,680000,
50,30229,,1000,
144,30228,,720000,
72,30227,,500000,
2065,30224,,3200000,
73,30223,,300000,
155,30222,,2500,
348,30221,,220000,
318,30220,,220000,
255,30219,,1595000,
182.31999999999999317878973670303821563720703125,30218,,1800,
162,30217,2500,,650000
86,30216,,370000,
210,30215,,700000,
80,30214,,1400,
45,30213,,200000,
37,30212,900,,180000
39,30211,,550,
65,30210,,1300,
176,30209,,900000,
73,30208,,310000,
204,30207,,4500,
60,30206,,200000,
60,30205,,200000,
300,30204,,1050000,
178,30203,1800,,215000
75,30202,,1100,
70,30201,,1600,
35,30200,,150000,
35,30199,,150000,
186,30198,,760000,
48,30197,900,,170000
89,30196,,380000,
122,30195,,2000,
225,30194,,880000,
253,30193,,3000,
102,30192,,450000,
50,30191,,900,
45,30190,,900,
1123,30189,,14000,
1059,30188,,14000,
20,30186,,1200,
957,30185,,540000,
99,30184,,300000,
278,30179,3500,,750000
250,30178,,620000,
396,30177,,15000,
707,30176,,3480000,
708,30175,,2500000,
752,30174,,1450000,
237,30173,5000,,1250000
47,30172,,280000,
167,30171,,860000,
1800,30169,,720000,
192,30168,,390000,
710,30167,,940000,
38,30166,,1300,
237,30165,,750000,
190,30164,,850000,
106,30163,,2000,
